s_no,district,seat,constituency,cand_id,party_id,acronym,votes
1,Chitral,Chitral,NA-1,1425,46,MMAP,48616
2,Chitral,Chitral,NA-1,2344,82,PRHP,3223
3,Chitral,Chitral,NA-1,1894,25,IND,698
4,Chitral,Chitral,NA-1,2575,25,IND,2414
5,Chitral,Chitral,NA-1,620,13,ANP,3613
6,Chitral,Chitral,NA-1,1509,5,APML,6755
7,Chitral,Chitral,NA-1,2900,25,IND,681
8,Chitral,Chitral,NA-1,59,86,PTI,38481
9,Chitral,Chitral,NA-1,898,73,PMLN,21016
10,Chitral,Chitral,NA-1,2099,25,IND,793
11,Chitral,Chitral,NA-1,2406,80,PPPP,32635
12,Swat,Swat-I,NA-2,817,86,PTI,61687
13,Swat,Swat-I,NA-2,1738,92,PMAP,3381
14,Swat,Swat-I,NA-2,966,25,IND,165
15,Swat,Swat-I,NA-2,1179,25,IND,148
16,Swat,Swat-I,NA-2,1390,25,IND,453
17,Swat,Swat-I,NA-2,1934,13,ANP,14618
18,Swat,Swat-I,NA-2,304,73,PMLN,41125
19,Swat,Swat-I,NA-2,2368,25,IND,1410
20,Swat,Swat-I,NA-2,2045,46,MMAP,18055
21,Swat,Swat-I,NA-2,317,80,PPPP,16018
22,Swat,Swat-II,NA-3,2408,86,PTI,68162
23,Swat,Swat-II,NA-3,51,13,ANP,21895
24,Swat,Swat-II,NA-3,879,25,IND,16747
25,Swat,Swat-II,NA-3,2568,80,PPPP,22046
26,Swat,Swat-II,NA-3,2588,33,JUIN,1368
27,Swat,Swat-II,NA-3,166,25,IND,1991
28,Swat,Swat-II,NA-3,1327,73,PMLN,22756
29,Swat,Swat-II,NA-3,248,25,IND,455
30,Swat,Swat-Ill,NA-4,1951,86,PTI,71600
31,Swat,Swat-Ill,NA-4,693,73,PMLN,14494
32,Swat,Swat-Ill,NA-4,2897,95,QWP,2240
33,Swat,Swat-Ill,NA-4,889,8,AOAT,904
34,Swat,Swat-Ill,NA-4,1795,116,TLP,1579
35,Swat,Swat-Ill,NA-4,2166,80,PPPP,12328
36,Swat,Swat-Ill,NA-4,1733,25,IND,251
37,Swat,Swat-Ill,NA-4,1115,92,PMAP,1464
38,Swat,Swat-Ill,NA-4,1822,13,ANP,30975
39,Swat,Swat-Ill,NA-4,2569,25,IND,532
40,Swat,Swat-Ill,NA-4,2170,46,MMAP,17542
41,Upper,Upper,NA-5,2358,86,PTI,66545
42,Upper,Upper,NA-5,854,25,IND,1241
43,Upper,Upper,NA-5,925,13,ANP,8529
44,Upper,Upper,NA-5,940,50,PSP,371
45,Upper,Upper,NA-5,1773,73,PMLN,14462
46,Upper,Upper,NA-5,2010,80,PPPP,53967
47,Upper,Upper,NA-5,2297,25,IND,2861
48,Upper,Upper,NA-5,2359,46,MMAP,57657
49,Upper,Upper,NA-5,2692,5,APML,1910
50,Upper,Upper,NA-5,2932,69,PML,121
51,Lower,Lower,NA-6,1278,86,PTI,63440
52,Lower,Lower,NA-6,172,80,PPPP,27774
53,Lower,Lower,NA-6,315,8,AOAT,818
54,Lower,Lower,NA-6,372,46,MMAP,36665
55,Lower,Lower,NA-6,784,5,APML,675
56,Lower,Lower,NA-6,898,116,TLP,3166
57,Lower,Lower,NA-6,1012,73,PMLN,3600
58,Lower,Lower,NA-6,1911,13,ANP,30682
59,Lower,Lower,NA-7,1575,86,PTI,63017
60,Lower,Lower,NA-7,20,5,APML,305
61,Lower,Lower,NA-7,1432,25,IND,185
62,Lower,Lower,NA-7,1708,8,AOAT,1313
63,Lower,Lower,NA-7,2085,13,ANP,19543
64,Lower,Lower,NA-7,2671,46,MMAP,46040
65,Lower,Lower,NA-7,2676,73,PMLN,1256
66,Lower,Lower,NA-7,2848,80,PPPP,10064
67,Malakand,Malakand,NA-8,1039,86,PTI,81310
68,Malakand,Malakand,NA-8,224,25,IND,400
69,Malakand,Malakand,NA-8,306,73,PMLN,3292
70,Malakand,Malakand,NA-8,502,80,PPPP,43724
71,Malakand,Malakand,NA-8,686,25,IND,565
72,Malakand,Malakand,NA-8,769,46,MMAP,31739
73,Malakand,Malakand,NA-8,887,25,IND,195
74,Malakand,Malakand,NA-8,936,13,ANP,11406
75,Malakand,Malakand,NA-8,1310,25,IND,3836
76,Malakand,Malakand,NA-8,1711,25,IND,1986
77,Malakand,Malakand,NA-8,2597,25,IND,985
78,Malakand,Malakand,NA-8,2892,5,APML,244
79,Malakand,Malakand,NA-8,3012,95,QWP,1156
80,Buner,Buner,NA-9,2634,86,PTI,58037
81,Buner,Buner,NA-9,123,13,ANP,38015
82,Buner,Buner,NA-9,647,15,AWP,11729
83,Buner,Buner,NA-9,974,46,MMAP,23354
84,Buner,Buner,NA-9,1046,73,PMLN,38358
85,Buner,Buner,NA-9,1318,25,IND,3297
86,Buner,Buner,NA-9,2669,5,APML,546
87,Shangla,Shangla,NA-10,889,73,PMLN,34070
88,Shangla,Shangla,NA-10,309,46,MMAP,20800
89,Shangla,Shangla,NA-10,483,15,AWP,1200
90,Shangla,Shangla,NA-10,845,80,PPPP,5642
91,Shangla,Shangla,NA-10,2152,25,IND,1093
92,Shangla,Shangla,NA-10,2330,13,ANP,32665
93,Shangla,Shangla,NA-10,2351,25,IND,121
94,Shangla,Shangla,NA-10,2362,25,IND,247
95,Shangla,Shangla,NA-10,2967,86,PTI,27832
96,Kohistan,Kohistan-cum-Lower,NA-11,151,46,MMAP,15859
97,Kohistan,Kohistan-cum-Lower,NA-11,1279,69,PML,12627
98,Kohistan,Kohistan-cum-Lower,NA-11,2752,25,IND,4487
99,Kohistan,Kohistan-cum-Lower,NA-11,829,73,PMLN,33
100,Kohistan,Kohistan-cum-Lower,NA-11,1761,25,IND,26
101,Kohistan,Kohistan-cum-Lower,NA-11,1181,80,PPPP,4185
102,Kohistan,Kohistan-cum-Lower,NA-11,1897,25,IND,27
103,Kohistan,Kohistan-cum-Lower,NA-11,608,25,IND,14148
104,Kohistan,Kohistan-cum-Lower,NA-11,1035,50,PSP,17
105,Kohistan,Kohistan-cum-Lower,NA-11,79,25,IND,194
