result_id,district,constituency,cand_id,party_id,acronym,votes,Total_Valid_Votes,Total_Rejected_Votes,Total_Votes,Total_Registered_Voters,Turnout
1,Chitral,NA-1,1425,46,MMAP,48616,158925,5430,164355,269579,0.61
2,Swat,NA-2,817,86,PTI,61687,157060,8721,165781,382974,0.43
3,Swat,NA-3,2408,86,PTI,68162,155420,6452,161872,401124,0.40
4,Swat,NA-4,1951,86,PTI,71600,153909,6522,160431,409013,0.39
5,Upper,NA-5,2358,86,PTI,66545,207664,8256,215920,447414,0.48
6,Lower,NA-6,1278,86,PTI,63440,166820,4955,171775,351245,0.49
7,Lower,NA-7,1575,86,PTI,63017,141723,4455,146178,330592,0.44
8,Malakand,NA-8,1039,86,PTI,81310,180838,5591,186429,386449,0.48
9,Buner,NA-9,2634,86,PTI,58037,173336,7632,180968,445474,0.41
10,Shangla,NA-10,889,73,PMLN,34070,123670,4632,128302,374343,0.34
11,Kohistan,NA-11,151,46,MMAP,15859,61700,1529,63229,154620,0.41
12,Battagram,NA-12,1768,86,PTI,34270,88188,3455,91643,258155,0.36
13,Mansehra,NA-13,2411,25,IND,109262,253554,7600,261154,526974,0.60
14,Mansehra,NA-14,1813,73,PMLN,74889,203976,8033,212009,510931,0.41
15,Abbottabad,NA-15,1954,73,PMLN,95340,234157,7712,241869,478336,0.51
16,Abbottabad,NA-16,249,86,PTI,85203,175228,4376,179604,360392,0.50
17,Haripur,NA-17,2132,86,PTI,172609,334580,8862,343442,657648,0.52
18,Swabi,NA-18,371,86,PTI,78970,187543,7285,194828,449012,0.43
19,Swabi,NA-19,2946,86,PTI,83903,203707,8023,211730,463621,0.46
20,Mardan,NA-20,1924,86,PTI,78140,187360,7075,194435,430538,0.45
21,Mardan,NA-21,303,13,ANP,78911,186797,5790,192687,419713,0.46
22,Mardan,NA-22,250,86,PTI,58577,195463,5594,201057,389688,0.52
23,Charsadda,NA-23,338,86,PTI,59371,169290,6779,176069,417386,0.42
24,Charsadda,NA-24,687,86,PTI,83495,202073,7832,209905,463440,0.45
25,Nowshera,NA-25,2141,86,PTI,82118,179039,5858,184897,378941,0.49
26,Nowshera,NA-26,926,86,PTI,90256,182523,5636,188159,377308,0.50
27,Peshawar,NA-27,2107,86,PTI,71158,149161,5437,154598,337329,0.46
28,Peshawar,NA-28,344,86,PTI,74414,145382,5106,150488,336554,0.45
29,Peshawar,NA-29,2030,86,PTI,49762,125538,4619,130157,320401,0.41
30,Peshawar,NA-30,2635,86,PTI,73781,122412,3135,125547,308891,0.41
31,Peshawar,NA-31,2606,86,PTI,87895,160984,3696,154680,390211,0.42
32,Kohat,NA-32,2621,86,PTI,82248,190658,6685,197343,506699,0.39
33,Hangu,NA-33,1106,86,PTI,28819,77891,3424,81318,275947,0.28
34,Karak,NA-34,2555,86,PTI,77181,194588,6387,200975,404458,0.50
35,Bannu,NA-35,922,86,PTI,113822,238962,7356,246318,578872,0.43
36,Lakki,NA-36,1514,46,MMAP,91065,201699,9167,210866,421224,0.50
37,Tank,NA-37,370,46,MMAP,28504,79012,37,79049,180872,0.44
38,Dera,NA-38,234,86,PTI,80236,206359,8294,214653,391557,0.55
39,Dera,NA-39,1897,86,PTI,79334,10942,361,11303,328428,0.03
40,Tribal,NA-40,762,86,PTI,34616,102689,1843,104532,255579,0.41
41,Tribal,NA-41,776,86,PTI,22730,88439,2073,90512,237153,0.38
42,Tribal,NA-42,2388,86,PTI,22717,0,0,36,29855,0.00
43,Tribal,NA-43,2115,86,PTI,33243,84335,1557,85892,226627,0.38
44,Tribal,NA-44,1405,86,PTI,12537,66215,929,67144,265217,0.25
45,Tribal,NA-45,1949,46,MMAP,16353,56357,1536,57839,165368,0.35
46,Tribal,NA-46,2386,80,PPPP,21461,73337,1135,74472,172497,0.43
47,Tribal,NA-47,1029,86,PTI,11102,53790,1176,54966,167206,0.33
48,Tribal,NA-48,1418,25,IND,16496,63343,611,63954,274205,0.23
49,Tribal,NA-49,1686,46,MMAP,7794,36429,501,26930,178293,0.21
50,Tribal,NA-50,1488,25,IND,23530,46810,1332,48142,145872,0.33
51,Tribal,NA-51,102,46,MMAP,21896,68780,1023,69803,166614,0.42
52,Islamabad,NA-52,2214,86,PTI,64690,148162,2530,150692,234508,0.64
53,Islamabad,NA-53,922,86,PTI,92891,174976,1480,176456,312142,0.57
54,Islamabad,NA-54,373,86,PTI,56945,117747,932,118679,218795,0.54
55,Attock,NA-55,2889,86,PTI,145168,297411,8316,305727,571804,0.53
56,Attock,NA-56,2889,86,PTI,163325,389806,10143,339949,638937,0.53
57,Rawalpindi,NA-57,2329,86,PTI,136249,322692,3908,326600,590372,0.55
58,Rawalpindi,NA-58,2217,80,PPPP,125090,328150,10582,338732,629386,0.54
59,Rawalpindi,NA-59,751,86,PTI,89055,202313,7661,209974,357199,0.59
60,Rawalpindi,NA-61,4,86,PTI,105000,186062,2898,188980,367782,0.51
61,Rawalpindi,NA-62,2631,12,AMLP,117719,231691,3859,235560,452930,0.52
62,Rawalpindi,NA-63,751,86,PTI,100986,211826,3843,215669,370967,0.58
63,Chakwal,NA-64,3071,86,PTI,155214,311355,9039,320394,551011,0.58
