cand_id,cand_name,party_id,party_acronym,province
620,Eid Ul Hussain,9,ANP,Khyber Pakhtunkhwa
1399,Mohammad Amjad,9,APML,Khyber Pakhtunkhwa
1414,Mohammad Yahya,24,IND,Khyber Pakhtunkhwa
2099,Nisar Dastageer,24,IND,Khyber Pakhtunkhwa
2576,Shahzada Muharamad Taim,24,IND,Khyber Pakhtunkhwa
2900,Taqdira Ajmal,24,IND,Khyber Pakhtunkhwa
1425,Moulana Abdul Akbar Chi..,40,MMAP,Khyber Pakhtunkhwa
899,Lftikhar Ud Din,101,PMLN,Khyber Pakhtunkhwa
2406,Saleem Khan,101,PPPP,Khyber Pakhtunkhwa
2344,Saeed Ur Rehman,101,PRHP,Khyber Pakhtunkhwa
59,Abdul Latif,101,PTI,Khyber Pakhtunkhwa
1934,Mumtaz Ahmad,9,ANP,Khyber Pakhtunkhwa
889,Ibadullah Khan,24,IND,Khyber Pakhtunkhwa
1179,Malak Muhammad Didar Khan,24,IND,Khyber Pakhtunkhwa
1390,Miraj Muhammad,24,IND,Khyber Pakhtunkhwa
2368,Said Qamar,24,IND,Khyber Pakhtunkhwa
2046,Naveed Lqbal,40,MMAP,Khyber Pakhtunkhwa
1738,Muhammad Mukhtar,101,PMAP,Khyber Pakhtunkhwa
304,Amir Muqam,101,PMLN,Khyber Pakhtunkhwa
317,Amjad Ali Khan,101,PPPP,Khyber Pakhtunkhwa
609,Dr. Haider Ali Khan,101,PTI,Khyber Pakhtunkhwa
51,Abdul Karim,9,ANP,Khyber Pakhtunkhwa
166,Aftab Shahid,24,IND,Khyber Pakhtunkhwa
248,Ali Khan,24,IND,Khyber Pakhtunkhwa
879,Hujjat Ullah,24,IND,Khyber Pakhtunkhwa
2588,Shakeel Ahmad,37,JUIN,Khyber Pakhtunkhwa
1327,Mian Muhammad Shahbaz Sharif,101,PMLN,Khyber Pakhtunkhwa
2568,Shahryar Amirzeb,101,PPPP,Khyber Pakhtunkhwa
2408,Saleem Rehman,101,PTI,Khyber Pakhtunkhwa
1822,Muhammad Salim Khan,9,ANP,Khyber Pakhtunkhwa
1132,Lbrahim,9,AOAT,Khyber Pakhtunkhwa
1733,Muhammad Mosa Khan,24,IND,Khyber Pakhtunkhwa
2569,Shahzad,24,IND,Khyber Pakhtunkhwa
2170,Qari Mahmood,40,MMAP,Khyber Pakhtunkhwa
1115,Khurshaid Ali,101,PMAP,Khyber Pakhtunkhwa
