party_id,party_name,Acronym
1,Aam Admi Tehreek Pakistan,AATP
2,Aam Awam Party,AAP
3,Aam Log Party Pakistan,ALPP
4,All Pakistan Minority Movement Pakistan,APMMP
5,All Pakistan Muslim League,APML
6,All Pakistan Muslim League (Jinnah),APMLJ
7,All Pakistan Tehreek,APT
8,Allah-O-Akbar Tehreek,AOAT
9,Amun Taraqqi Party,ATP
10,Awam League,AL
11,Awami Justice Party Pakistan,AJPP
12,Awami Muslim League Pakistan,AMLP
13,Awami National Party,ANP
14,Awami Party Pakistan-S,APPS
15,Awami Workers Party,AWP
16,Balochistan Awami Party,BAP
17,Balochistan National Movement,BNM
18,Balochistan National Party,BNP
19,Balochistan National Party(Awami),BNPA
20,Barabri Party Pakistan,BPP
21,Front National Pakistan,FNP
22,Grand Democratic Alliance,GDA
23,Hazara Democratic Party,HDP
24,Humdardan-e-Watan Pakistan,HWP
25,Independent,IND
26,Islami Jamhoori Ittehad Pakistan,IJIP
27,Islami Tehreek Pakistan,ITP
28,Ittehad-e-Ummat Pakistan,IUP
29,Jamat-e-Islami Pakistan,JIP
30,Jamhoori Watan Party,JWP
31,Jamiat Ulama-e-Islam Nazaryati Pakistan,JUIP
32,Jamiat Ulama-e-Islam(F),JUIF
33,Jamiat Ulema-e-Pakistan (Noorani),JUPN
34,Jamiyat Ulma-e-Islam Pakistan(S),JUIPS
35,Jamote Qaumi Movement,JQM
36,Jannat Pakistan Party,JPP
37,Majlis Wahdat-e-Muslimeen Pakistan,MWMP
38,Markazi Jamiat Ahl-e-Hadith,MJAH
39,Mohajir Qaumi Movement (Pakistan),MQMH
40,Move on Pakistan,MOP
41,Muhib-e-Watan Noujawan Anqlabion Ki Anjuman (MNAKA),MWNAKAM
42,Mustaqbil Pakistan,MP
43,Mutahida Majlis-e-Amal Pakistan,MMAP
44,Mutahidda Ulema Mashaikh Council of Pakistan,MUMCOP
45,Mutahiddia Qabail Party,MQP
46,Mutihida League,ML
47,Muttahida Qaumi Movement Pakistan,MQMP
48,National Party,NP
49,National Peace Council Party,NPCP
50,Pak Sarzameen Party,PSP
51,Pakhtoonkhwa Milli Awami Party,PMAP
52,Pakistan Aman Party,PAP
53,Pakistan Aman Tehreek,PAT(Aman)
54,Pakistan Awami Inqelabi League,PAIL
55,Pakistan Awami League,PAL
56,Pakistan Awami Raj,PAR
57,Pakistan Awami Tehreek,PAT
58,Pakistan Citizen Movement,PCM
59,Pakistan Conservative Party,PCP
60,Pakistan Falah Party,PFP
61,Pakistan Falahi Tehreek,PFT
62,Pakistan Freedom Movement,PFM
63,Pakistan Human Party,PHP
64,Pakistan Human Rights Party,PHRP
65,Pakistan Islamic Republican Party,PIRP
66,Pakistan Justice and Democratic Party,PJADP
67,Pakistan Kissan Ittehad (Ch. Anwar),PKICA
68,Pakistan Muslim Alliance,PMA
69,Pakistan Muslim League,PML
70,Pakistan Muslim League (Council),PMLC
71,Pakistan Muslim League (Functional),PMLF
72,Pakistan Muslim League (Junejo),PMLJ
73,Pakistan Muslim League (N),PMLN
74,Pakistan Muslim League (Zia-ul-Haq Shaheed),PMLZ
75,Pakistan Muslim League Organization,PMLO
76,Pakistan Muslim League SHER-E-BANGAL A.K. Fazal-Ul-Haque,PMLS
77,Pakistan National Muslim League,PNML
78,Pakistan Peoples Party,PPP
79,Pakistan Peoples Party (Shaheed Bhutto),PPPSB
80,Pakistan Peoples Party Parliamentarians,PPPP
81,Pakistan Peoples Party Workers,PPPW
82,Pakistan Quami Yakjehti Party,PQYP
83,Pakistan Siraiki Party (T),PSPT
84,Pakistan Sunni Tehreek,PST
85,Pakistan Supreme Democratic,PSD
86,Pakistan Tehreek-e-Insaf,PTI
87,Pakistan Tehreek-e-Insaf (Nazriati),PTIN
88,Pakistan Tehreek-e-Insaf-Gulalai,PTIG
89,Pakistan Tehreek-e-Insaniat,PTEI
90,Pakistan Welfare Party,PWP
91,Pakistan Yaqeen Party,PYP
92,Pasban Pakistan,PP
93,Peoples Movement of Pakistan,PMOP
94,Peoples Muslim League (Pakistan),PMLP
95,Qaumi Watan Party,QWP
96,Roshan Pakistan League,RPL
97,Saraikistan Democratic Party,SDP
98,Sindh United Party,SUP
99,Sunni Ittehad Council,SIC
100,Sunni Tehreek,ST
101,Tabdeeli Pasand Party (Pakistan),TPPP
102,Tehreek Labbaik Pakistan,TLP
103,Tehreek Tabdili Nizam Pakistan,TTNP
104,Tehreek-e-Difa-e-Pakistan,TDP
105,Tehreek-e-Labbaik Islam,TLI
106,Tehreek-e-Suba Hazara Pakistan,TSHP
107,Tehrik Jawanan Pakistan,TJP
108,Pakistan Rah-e-Haq Party,PRHP
109,Allah-o-Akbar Tehreek,AAT
110,Jamiat Ulma-e-Islam Nazryati Pakistan,JUIN
111,Pakistan Muslim League (Q),PMLQ
112,Pakistan Justice & Democratic Party,PJDP
113,Justice and Development Party Pakistan,JDPP
114,Muttahida Majlis-e-Amal,MMA
115,Tehreek Jamhuriat Pakistan,TJ
116,Pakistan Muhajir League,PM
